pagePath,deviceCategory,sourceMedium,sessions,conversions,bounceRate,conversionRate
/contact,desktop,direct / none,156,9,66.78146001636615,5.769230769230769
/product,tablet,direct / none,380,15,47.55493351795203,3.9473684210526314
/cart,mobile,google / organic,819,77,63.31992633600949,9.401709401709402
/product,desktop,google / organic,509,5,56.69918962929685,0.9823182711198428
/home,desktop,direct / none,108,1,43.991658302915326,0.9259259259259258
/checkout,tablet,facebook / cpc,736,32,57.10316055998524,4.3478260869565215
/checkout,desktop,direct / none,534,13,56.4526911140863,2.4344569288389515
/contact,mobile,email / newsletter,650,53,77.93792198447356,8.153846153846153
/home,mobile,google / organic,947,46,61.053981590729414,4.857444561774024
/contact,desktop,email / newsletter,992,44,30.401879210466326,4.435483870967742
/product,mobile,facebook / cpc,439,26,32.47649977209133,5.922551252847381
/blog,tablet,facebook / cpc,779,35,46.98524800218594,4.492939666238768
/checkout,mobile,direct / none,865,53,39.59244612835012,6.127167630057803
/checkout,desktop,facebook / cpc,345,26,70.67203092068908,7.536231884057972
/contact,desktop,email / newsletter,971,62,77.91531843584828,6.385169927909372
/blog,desktop,google / organic,64,0,29.91601634378015,0.0
/home,desktop,email / newsletter,697,58,20.331327027416144,8.321377331420372
/home,tablet,direct / none,338,31,56.35759848686068,9.171597633136095
/product,desktop,email / newsletter,184,9,71.00231466738796,4.891304347826087
/home,tablet,direct / none,623,47,39.51099932160482,7.54414125200642
/about,tablet,direct / none,788,58,27.1756547562981,7.3604060913705585
/home,desktop,facebook / cpc,552,30,66.25803079727366,5.434782608695652
/home,tablet,direct / none,907,17,21.52514760464571,1.8743109151047408
/contact,tablet,google / organic,613,44,53.79653431858302,7.177814029363784
/blog,tablet,direct / none,798,22,52.39046547810039,2.756892230576441
/blog,tablet,direct / none,292,27,29.673277235240263,9.246575342465754
/blog,mobile,google / organic,695,20,47.392074228974614,2.877697841726619
/checkout,mobile,facebook / cpc,380,7,39.46070126031644,1.8421052631578945
/home,tablet,facebook / cpc,274,18,36.32793496307812,6.569343065693431
/home,desktop,google / organic,308,17,20.417127831871444,5.51948051948052
/home,mobile,google / organic,274,11,27.19192204002097,4.014598540145985
/contact,tablet,facebook / cpc,721,52,51.12743730460197,7.212205270457697
/home,mobile,google / organic,491,16,77.74683769652668,3.2586558044806515
/product,tablet,google / organic,662,8,37.090429662648056,1.2084592145015105
/home,mobile,facebook / cpc,269,9,23.08872507499936,3.3457249070631967
/home,desktop,direct / none,687,37,28.693692325473386,5.385735080058224
/about,tablet,email / newsletter,488,15,65.69717691972306,3.0737704918032787
/contact,mobile,email / newsletter,886,59,57.938349835614765,6.659142212189615
/cart,tablet,email / newsletter,193,7,70.11814973535428,3.6269430051813467
/about,desktop,direct / none,709,21,39.557534312113084,2.9619181946403383
/product,tablet,direct / none,196,3,40.91995923750376,1.530612244897959
/home,desktop,email / newsletter,689,58,51.0650810316488,8.417997097242381
/cart,desktop,google / organic,995,88,75.48161709671376,8.84422110552764
/cart,tablet,email / newsletter,193,11,69.03333201207295,5.699481865284974
/checkout,desktop,facebook / cpc,946,85,25.586166068353954,8.985200845665963
/blog,tablet,direct / none,58,4,36.73228115553091,6.896551724137931
/cart,mobile,email / newsletter,722,12,58.52189876925726,1.662049861495845
/checkout,mobile,email / newsletter,901,39,54.84119728618728,4.328523862375139
/home,tablet,google / organic,910,34,37.03525848424794,3.7362637362637363
/product,mobile,direct / none,769,19,79.66744775664924,2.4707412223667102
/checkout,desktop,facebook / cpc,326,14,30.729362553279728,4.294478527607362
/contact,tablet,google / organic,689,12,54.098516200128294,1.741654571843251
/cart,mobile,direct / none,71,6,34.63937860274501,8.450704225352112
/blog,tablet,facebook / cpc,825,67,57.86831755983577,8.121212121212121
/about,desktop,email / newsletter,928,25,49.55106162913184,2.693965517241379
/blog,tablet,email / newsletter,596,8,66.11324085837853,1.342281879194631
/checkout,mobile,google / organic,95,4,74.89186341322691,4.2105263157894735
/home,desktop,email / newsletter,398,38,45.69104889903886,9.547738693467336
/cart,desktop,email / newsletter,240,6,38.34182115723091,2.5
/home,tablet,email / newsletter,67,6,53.40807574750101,8.955223880597014
